venue_id,type
5390799620f770854f5c0f40,journal
555036f67cea80f95416a9f6,journal
555037a07cea80f95419305f,journal
555037cc7cea80f95419a510,journal
53a728f820f7420be8bbffb5,journal
54824fb3582fc50b5e02e6e0,journal
53a72a6b20f7420be8c003b0,journal
5736ab19d39c4f40a79494d8,journal
53e17fa620f7dfbc07e8ae22,journal
53a72cbc20f7420be8c4de37,journal
555036ee7cea80f9541662df,journal
53a725d920f7420be8b5b573,journal
53a72eb320f7420be8c98662,journal
53e184f720f7dfbc07e8d156,journal
5390798120f770854f5be2d6,journal
53a726c320f7420be8b832f6,journal
53a7314f20f7420be8d37a40,journal
53a72b7820f7420be8c26b29,journal
53907aa920f770854f5da239,journal
54825f1d582fc50b5e1e89d7,journal
555036de7cea80f954161ba8,journal
53a732d020f7420be8db8016,journal
53e17f6020f7dfbc07e8ac82,journal
53a731f320f7420be8d6dec4,journal
53a729e320f7420be8be951c,journal
539078f320f770854f5a8985,journal
555036bb7cea80f95414e732,journal
555037977cea80f954190b2a,journal
555036cf7cea80f954158d42,journal
555036c17cea80f9541516a0,journal
555036e47cea80f954164b0f,journal
54826211582fc50b5e24846f,journal
555036f37cea80f95416924c,journal
53a7285520f7420be8baee54,journal
555036f37cea80f95416867a,journal
53e17f8a20f7dfbc07e8ad76,journal
5550374e7cea80f95417f8c5,journal
53a7284f20f7420be8baee22,journal
555036b77cea80f95414b7da,journal
53a727fd20f7420be8ba481e,journal
53e180bb20f7dfbc07e8b4de,journal
53a72f3220f7420be8c9cd5f,journal
53a731f620f7420be8d6ea84,journal
53907af620f770854f5dfd03,journal
53e17f7520f7dfbc07e8ad07,journal
53a72b5020f7420be8c20cc1,journal
53a72ed120f7420be8c9c17c,journal
59224a409ed5db409e22f1d9,journal
555036b67cea80f95414abfa,journal
53a72df020f7420be8c78b47,journal
555036de7cea80f954161b97,journal
53a727db20f7420be8b9e99c,journal
555037027cea80f95416d349,journal
555036dc7cea80f954160fb7,journal
53907b6820f770854f5ea9f0,journal
53907edc20f770854f614e1d,journal
54825f4f582fc50b5e1eff6a,journal
53a72e0320f7420be8c7ba81,journal
53a7290a20f7420be8bc2352,journal
53a7320620f7420be8d73ca9,journal
5390986520f70186a0e09576,journal
555037cf7cea80f95419b15b,journal
53a72d6120f7420be8c6352f,journal
53907ee820f770854f614fa5,journal
53e1852720f7dfbc07e8d2ac,journal
53a72f3420f7420be8c9cd6f,journal
53a727f020f7420be8ba24aa,journal
555037357cea80f95417a0ab,journal
53a72d6c20f7420be8c64cce,journal
53e184a320f7dfbc07e8cf34,journal
53907b5a20f770854f5ea70c,journal
53a732b020f7420be8dadbc0,journal
54824820582fc50b5dfcd3aa,journal
53a72c6a20f7420be8c4501f,journal
53a7312820f7420be8d283df,journal
54824a11582fc50b5dfdede0,journal
555036f47cea80f954169e19,journal
53a726d520f7420be8b84ae2,journal
539078ef20f770854f5a8451,journal
555036bd7cea80f95414f30d,journal
53a731eb20f7420be8d6bb8a,journal
53a7313c20f7420be8d2ed8d,journal
5390a0a220f70186a0e4e30f,journal
53907afa20f770854f5dfd8a,journal
53a72a7520f7420be8c01b5d,journal
55f8eafbc35f4f6dfd4161cd,journal
53a7251420f7420be8b452ef,journal
53a728b020f7420be8bb5a22,journal
53a729da20f7420be8be7d83,journal
53e1859420f7dfbc07e8d5ae,journal
53907bc320f770854f5f4fb3,journal
53a72b0d20f7420be8c17e9d,journal
555036f87cea80f95416b5ef,journal
5390896420f70186a0d94979,journal
53a72ad720f7420be8c0e50e,journal
53a72dd720f7420be8c75bf5,journal
555037037cea80f95416df34,journal
53a728b020f7420be8bb5a29,journal
53a72dc520f7420be8c73878,journal
53e1857720f7dfbc07e8d4f2,journal
53a7267420f7420be8b77618,journal
54826a67582fc50b5e39a318,journal
5550371b7cea80f954173a4b,journal
53a725ac20f7420be8b556b2,journal
53a72d8d20f7420be8c69f6c,journal
53a7262a20f7420be8b6ad52,journal
53a72f8120f7420be8cadc2b,journal
555036f87cea80f95416b5fc,journal
53a72d8a20f7420be8c693ad,journal
555036c87cea80f954155dd0,journal
53a7320f20f7420be8d7774d,journal
555037437cea80f95417d2eb,journal
53a72f3820f7420be8c9cd8e,journal
555037857cea80f95418cbe6,journal
5736adead39c4f40a79719c1,journal
555036bd7cea80f95414f31e,journal
555036f67cea80f95416a9ef,journal
53a726f420f7420be8b87a78,journal
5390b44b20f70186a0efa5ba,journal
555037277cea80f954176d4e,journal
539078f620f770854f5ab17f,journal
53a7262020f7420be8b689f2,journal
5482523f582fc50b5e05887d,journal
555036e67cea80f9541656f2,journal
555036c97cea80f954155dd6,journal
555037137cea80f954171fb9,journal
555036f97cea80f95416c1f1,journal
53a72cf120f7420be8c53d18,journal
53a72abc20f7420be8c0c131,journal
53e1859c20f7dfbc07e8d5dc,journal
53e17fa020f7dfbc07e8adfc,journal
555036f27cea80f954168664,journal
555036ce7cea80f954158d1d,journal
555037077cea80f95416ec72,journal
53907cc220f770854f60803c,journal
53e1817120f7dfbc07e8b988,journal
53a7294520f7420be8bcebc9,journal
555036c57cea80f954154615,journal
53a72b4420f7420be8c1e967,journal
53a72ac620f7420be8c0cd29,journal
53a7310f20f7420be8d1d3ea,journal
53a7283320f7420be8babe94,journal
53e1815d20f7dfbc07e8b8f7,journal
5390a71620f70186a0e88c32,journal
53a731ea20f7420be8d6afcf,journal
53a7281720f7420be8ba8355,journal
55f95a7dc35f4fb0d21ce891,journal
555036ca7cea80f9541569a6,journal
539feee0831432abcb396be9,journal
53a728f420f7420be8bbf3e5,journal
53e1891620f7dfbc07e8ec6b,journal
55f95869c35f4fb0d21ce31f,journal
53a7276520f7420be8b8cda2,journal
53a7309e20f7420be8cff2d4,journal
53a72b6c20f7420be8c25386,journal
53a72bcb20f7420be8c31c41,journal
53a72bdd20f7420be8c33414,journal
53a72ea120f7420be8c95738,journal
5550379b7cea80f95419237c,journal
53a7299920f7420be8bdc09a,journal
555037797cea80f954189a64,journal
5390947820f70186a0dea2ee,journal
53a72e3920f7420be8c85397,journal
555037a37cea80f954193d07,journal
555037757cea80f954188dbb,journal
555036ef7cea80f954166eb5,journal
53a7283220f7420be8babe88,journal
548261b6582fc50b5e2434f3,journal
53a7296620f7420be8bd32d7,journal
5550374b7cea80f95417ec10,journal
53a731ce20f7420be8d62e9a,journal
53a7266120f7420be8b746d9,journal
555036dc7cea80f954160fc5,journal
555036e27cea80f954163f29,journal
53a72f3f20f7420be8c9d96b,journal
53a7285420f7420be8baee4d,journal
555036c87cea80f954155dc9,journal
53a731a120f7420be8d543e6,journal
53a00231831432abcb73cac2,journal
5550371b7cea80f954173a52,journal
53907aaa20f770854f5da246,journal
555037577cea80f954182982,journal
555037d37cea80f95419be1e,journal
555037047cea80f95416df75,journal
53a7313720f7420be8d2e1bf,journal
555037127cea80f954171f3c,journal
539078f220f770854f5a88cd,journal
53a729a420f7420be8bdd84d,journal
53a7294820f7420be8bcebe0,journal
54826c83582fc50b5e3e62e0,journal
53e181f320f7dfbc07e8bcfc,journal
53a72f4220f7420be8c9d983,journal
53a730e620f7420be8d12f99,journal
53a7326520f7420be8d94107,journal
555036f27cea80f95416866c,journal
53907b6f20f770854f5eaac4,journal
555036dc7cea80f954160fcb,journal
555036f97cea80f95416c1d8,journal
53a72dee20f7420be8c78b37,journal
53a72eaa20f7420be8c96328,journal
53a7296520f7420be8bd32ce,journal
57d08a8a0a3ac5db4992107c,journal
5550371a7cea80f95417399c,journal
53a7285420f7420be8baee48,journal
53a72f4020f7420be8c9d975,journal
53a72a3020f7420be8bf5e3f,journal
53a72e9420f7420be8c933e0,journal
555037097cea80f95416f8e8,journal
539ff0be831432abcb3f285d,journal
555036e07cea80f95416334a,journal
555037337cea80f95417a03a,journal
555036f47cea80f954169e13,journal
555037c57cea80f9541980c2,journal
53a7292120f7420be8bc52bf,journal
53908b4820f70186a0dba795,journal
555036bd7cea80f95414f320,journal
53a727f020f7420be8ba24ad,journal
53e1857e20f7dfbc07e8d528,journal
5390991d20f70186a0e11631,journal
53a7281d20f7420be8ba9add,journal
53a725da20f7420be8b5b57f,journal
555037077cea80f95416eca1,journal
53a724ad20f7420be8b37372,journal
53a729c020f7420be8be07de,journal
555036b37cea80f954149fe0,journal
539ff140831432abcb4081f0,journal
53a7251b20f7420be8b45ec4,journal
555036ce7cea80f954158d20,journal
555036e07cea80f95416278d,journal
53a72f6020f7420be8ca14ab,journal
5550374a7cea80f95417ebe9,journal
555037037cea80f95416df2e,journal
53a72f3220f7420be8c9cd5c,journal
54825be3582fc50b5e177d9a,journal
539e71688314ff4cf4960de9,journal
53a7307e20f7420be8cf4e91,journal
53a72a5020f7420be8bfc866,journal
53a729fa20f7420be8bec496,journal
53a72ed220f7420be8c9cd3c,journal
53a726ea20f7420be8b862dd,journal
555036c27cea80f954152e4b,journal
539e71b28314ff4cf497e2b0,journal
5390982a20f70186a0e06ab4,journal
53a7308a20f7420be8cf94f7,journal
53a7292320f7420be8bc5e7d,journal
53a7295920f7420be8bd1b14,journal
539fff5b831432abcb6c5715,journal
555036bf7cea80f954150abe,journal
587ec9c09ed5db4ade85fe18,journal
555036d37cea80f95415b0b3,journal
5736b00cd39c4f40a798deac,journal
53a7310720f7420be8d1bc66,journal
53a72d7c20f7420be8c67bea,journal
53e1871a20f7dfbc07e8dfae,journal
53a72b2d20f7420be8c1c5a7,journal
555037807cea80f95418a7f5,journal
548259dd582fc50b5e1359d4,journal
572dfc90d39c4f6052c5759e,journal
53a72a2220f7420be8bf466e,journal
555036f17cea80f954167a86,journal
54825d73582fc50b5e1adc94,journal
53a729e620f7420be8bea0e5,journal
555036ca7cea80f9541569a5,journal
555036c47cea80f954153a3f,journal
53a72a9620f7420be8c06e31,journal
53e17f6120f7dfbc07e8ac8a,journal
555036f27cea80f95416865e,journal
53a72e4720f7420be8c86b5d,journal
555036c27cea80f954152e4e,journal
5550372b7cea80f954177a28,journal
53a72e1a20f7420be8c7f576,journal
53a728da20f7420be8bbad0f,journal
53a7298d20f7420be8bda8e3,journal
53a72b6a20f7420be8c25379,journal
53a72b8220f7420be8c27720,journal
555036e27cea80f954163f1e,journal
53a72fd220f7420be8cc5f6a,journal
53a7280820f7420be8ba5fd3,journal
53a731d820f7420be8d65d93,journal
539e770a8314ff4cf4b1d5e9,journal
555036d37cea80f95415b0dd,journal
53a731db20f7420be8d66956,journal
53a72b9c20f7420be8c2b23e,journal
53a726f320f7420be8b87a77,journal
5390a49620f70186a0e73ac1,journal
53a72a4c20f7420be8bfb0e4,journal
5550376d7cea80f954187415,journal
555036f87cea80f95416b602,journal
53a7328020f7420be8d9cddc,journal
53a72e9b20f7420be8c94b6a,journal
555036e47cea80f9541656ca,journal
5736ae3ad39c4f40a797601d,journal
53a725e620f7420be8b5d8e3,journal
53909ed520f70186a0e31cc4,journal
58d87c229ed5db79c99c0f01,journal
58f99f169ed5db981862047b,journal
53a72f6220f7420be8ca2c21,journal
555037c57cea80f9541980a5,journal
555036b47cea80f95414abcc,journal
53a7269920f7420be8b7bd09,journal
5550376e7cea80f954187478,journal
555036d27cea80f95415a4e4,journal
53909f3520f70186a0e396bd,journal
555037397cea80f95417ad97,journal
555037277cea80f954176d25,journal
53a7288720f7420be8bb072c,journal
539097a420f70186a0e0142a,journal
555036b87cea80f95414c3bb,journal
53a725c320f7420be8b591b9,journal
53a7315d20f7420be8d3c0ae,journal
555037517cea80f95417f95d,journal
5390894320f70186a0d9495c,journal
555037c97cea80f9541998dd,journal
555036c57cea80f954154602,journal
5736ae3ad39c4f40a797602d,journal
5390891420f70186a0d9221e,journal
53a731b320f7420be8d59617,journal
53a7318c20f7420be8d4c2d7,journal
555036ba7cea80f95414cf96,journal
5736ae3ad39c4f40a797600d,journal
5550376d7cea80f9541873e3,journal
555036df7cea80f954162769,journal
5550378d7cea80f95418f10b,journal
55f8ded8c35f4f6dfd415ff3,journal
555037007cea80f95416d278,journal
53a731ea20f7420be8d6afd0,journal
53a729c820f7420be8be2b32,journal
53a7256020f7420be8b4d4e1,journal
53a7266520f7420be8b75296,journal
5390a0a120f70186a0e4e2fc,journal
555037997cea80f95419171d,journal
53a72bae20f7420be8c2d5b7,journal
53a725e220f7420be8b5cd13,journal
5550370a7cea80f95416f932,journal
555037a17cea80f954193c72,journal
53a7258b20f7420be8b51bd2,journal
53a7285720f7420be8baee5f,journal
53a7318c20f7420be8d4c2d9,journal
555037b27cea80f9541963f6,journal
555037777cea80f954188e47,journal
555036cf7cea80f954158d3f,journal
53909e7b20f70186a0e2a2ec,journal
53a730cf20f7420be8d0c610,journal
53a72d2e20f7420be8c5cacb,journal
53a723b720f74fc8a8f3301f,journal
53a7264120f7420be8b6dccb,journal
53a7322320f7420be8d7e0f8,journal
53a72f3320f7420be8c9cd65,journal
53a72f9e20f7420be8cb74ac,journal
539ff23b831432abcb43bc31,journal
5390bb5c20f70186a0f3f2d8,journal
54826424582fc50b5e2a2d42,journal
53a72b5c20f7420be8c23bc2,journal
5550376b7cea80f95418737e,journal
555037817cea80f95418b3e1,journal
53a72f3620f7420be8c9cd7a,journal
