author,name
http://sdm_lab/53f47176dabfaeee22a7c82e,Jean-Louis Laclare
http://sdm_lab/5448e938dabfae87b7e929a2,Peter Schuster
http://sdm_lab/53f4a8d0dabfaedd74eb845e,Lin Hong
http://sdm_lab/53f432e3dabfaec09f15928b,Doug Easterly
http://sdm_lab/53f43169dabfaedf4354995b,Harold Joseph Highland
http://sdm_lab/53f43433dabfaee0d9b50614,Chu-Jui Yang
http://sdm_lab/53f43c6cdabfaedf435b3ff4,Martin Kummer
http://sdm_lab/53f4371cdabfaeb2ac059304,P. Tobin Maginnis
http://sdm_lab/542a54bbdabfae646d551217,Zhi Zhou
http://sdm_lab/53f429f7dabfaeb1a7b650bc,Richard J. Field
http://sdm_lab/54857268dabfae8a11fb29c6,Kenichi Kanatani
http://sdm_lab/53f42f8fdabfaee1c0a4f66c,Rafael De Clercq
http://sdm_lab/53f4673adabfaeee22a56a17,Walter Hower
http://sdm_lab/54865672dabfae8a11fb31aa,Omar Abou Khaled
http://sdm_lab/56017be445cedb3395e61a4b,ACM Transactions on Autonomous and Adaptive Systems staff
http://sdm_lab/53f4cea7dabfaeedd977c0d7,Anselm GrundhÃ¶fer
http://sdm_lab/53f324ccdabfae9a8446ac93,D. A. Orlov
http://sdm_lab/56017c8845cedb3395e62956,IEEE Internet Computing staff
http://sdm_lab/53f43015dabfaee02ac82bb8,Tomohiro Akagawa
http://sdm_lab/53f319e8dabfae9a8442e6c4,Matt Landes
http://sdm_lab/53f4c991dabfaee57677ea9c,Marco Montali
http://sdm_lab/53f459cddabfaeb2ac0e36a0,Robert Gowdy
http://sdm_lab/53f443eadabfaee02ad0f235,Franck Prugnolle
http://sdm_lab/53f4d249dabfaef0f7f80f97,Geert Booij
http://sdm_lab/5486a6cfdabfaed7b5fa2af1,James T. Bennett
http://sdm_lab/5434e1bcdabfaebba5877282,Simon Saunders
http://sdm_lab/53f7d741dabfae8faa4bb37c,Temur Kutsia
http://sdm_lab/53f46ab8dabfaee2a1dc0527,Z. Ã‰sik
http://sdm_lab/54106181dabfae44f08a2851,Bernadette Bouchon-meunier
http://sdm_lab/548c703bdabfaed7b5fa4387,Narciso Cerpa
http://sdm_lab/53f433a6dabfaeb22f4563c1,David T. Wang
http://sdm_lab/53f43a71dabfaefedbaef1f1,Vinton G. Cerf
http://sdm_lab/53f4d5f8dabfaeedd8784020,Volker Schlecht
http://sdm_lab/5406ac74dabfae8faa6189ab,Michael Schrefl
http://sdm_lab/548824d6dabfaed7b5fa34f7,Noah Snavely
http://sdm_lab/56018a4c45cedb3395e6d1cc,A. Brandt
http://sdm_lab/560178bb45cedb3395e5db78,Seiji Nishino
http://sdm_lab/53f43a09dabfaee0d9b861e2,B.G. Mockett
http://sdm_lab/548e7ce3dabfaef989f0943c,Sven O. Krumke
http://sdm_lab/53f433ebdabfaedf435672f4,Paul N. Hilfinger
http://sdm_lab/53f44f1bdabfaee43eca0073,Ole Hanseth
http://sdm_lab/5488098cdabfaed7b5fa3484,NicolÃ² Cesa-Bianchi
http://sdm_lab/53f49b52dabfaebbd377b71a,Leonid Libkin
http://sdm_lab/54314bbbdabfae8f291421a3,Gunter Dueck
http://sdm_lab/53f4d8eedabfaef64977b7ce,Susumu Tachi
http://sdm_lab/53f4ce04dabfaeedd177b686,F. H. Post
http://sdm_lab/53f80865dabfae92b4102a1b,Minoru Sasaki
http://sdm_lab/5440bc99dabfae805a6ee0c5,Meera Sitharam
http://sdm_lab/53f384b3dabfae4b34a0b6f2,Tom Schofield
http://sdm_lab/53f4320ddabfaec22ba53bb3,Gregory Kohs
http://sdm_lab/53f458e5dabfaee4dc81bc6e,C. Genillard
http://sdm_lab/53f43b52dabfaeecd698f260,Ohad Barzilay
http://sdm_lab/53f4420ddabfaefedbb074e9,G.E. Ostrin
http://sdm_lab/53f556b3dabfaea7cd1d4f23,Gautam Das
http://sdm_lab/53f32851dabfae9a8447e4b0,LoÃ¯c HÃ©louÃ«t
http://sdm_lab/53f42b8adabfaedf434f9c1b,Shahid Jabbar
http://sdm_lab/560179de45cedb3395e5efea,Jules FranÃ§oise
http://sdm_lab/5430126adabfaeca69bc3770,B. Bank
http://sdm_lab/53f43150dabfaee2a1caeaf7,Wayne Pfeiffer
http://sdm_lab/53f4492adabfaee2a1d3ff33,Julian Wolf
http://sdm_lab/53f42fdddabfaee2a1c9bf10,Carolina Chang
http://sdm_lab/53f43530dabfaeb22f4673bd,Shahar Zaks
http://sdm_lab/53f46527dabfaedf436411af,W. Prenninger
http://sdm_lab/53f4c9c6dabfaee57977f51f,Penousal Machado
http://sdm_lab/5601870a45cedb3395e691f3,Keith Rayner
http://sdm_lab/53f458b3dabfaeee22a3c946,Edvard Moser
http://sdm_lab/53f4593adabfaec09f210caf,Jian-sing Liou
http://sdm_lab/5432f61fdabfaeb4c6aa085a,Steven J. Schiff
http://sdm_lab/53f42f57dabfaee2a1c952a6,T. Et Enjeux
http://sdm_lab/53f444b0dabfaefedbb0e46f,Alexey Lastovetsky
http://sdm_lab/5410a4f4dabfae44f08cb06e,Dave Pape
http://sdm_lab/53f432d6dabfaee1c0a7927a,Darlene Amendolair
http://sdm_lab/53f325f2dabfae9a844714a4,Bernardo Magri
http://sdm_lab/53f42d02dabfaedce54bfc37,Carlo Disalvo
http://sdm_lab/56017b7345cedb3395e60ffa,J V Durnin
http://sdm_lab/543243a1dabfaeb54214c05e,V. V. Kozlov
http://sdm_lab/53f43126dabfaec09f14427d,Ryan Porter
http://sdm_lab/540544c5dabfae92b41bc245,Paul Roberts
http://sdm_lab/53f43ad4dabfaee02acf59a4,RenÃ© Thiemann
http://sdm_lab/53f56639dabfae6294f80487,Eugene Charniak
http://sdm_lab/53f47915dabfaec09f287e11,Michael Klugerman
http://sdm_lab/53f469ebdabfaee02ada2ecf,Alistair Steyn-Ross
http://sdm_lab/5448416cdabfae87b7df66a2,James A. Yorke
http://sdm_lab/53f454f0dabfaee2a1d6e6cb,Adi Shamir
http://sdm_lab/53f43619dabfaedd74d9e51b,Monterey Lanes
http://sdm_lab/53f45934dabfaee02ad63771,Hidehisa Onai
http://sdm_lab/53f46946dabfaee2a1dbab71,Ann Loraine
http://sdm_lab/53f443dadabfaec09f1bfa4b,Aaron Lim
http://sdm_lab/53f45e60dabfaec09f221b7e,Maria Wiener
http://sdm_lab/53f47131dabfaec09f26972c,Ben Bengler
http://sdm_lab/53f43b2adabfaeecd698d446,Peter J. Bush
http://sdm_lab/53f42a5fdabfaec22b9e89a2,Alain Casali
http://sdm_lab/53f4301cdabfaee0d9b1f3ef,David A. Bryan
http://sdm_lab/53f465b8dabfaee4dc84b5d2,Carl M. Ellison
http://sdm_lab/54096a37dabfae8faa68d16d,Gustav Pomberger
http://sdm_lab/540908a9dabfae8faa66799f,Angelica Reyes
http://sdm_lab/5487cc93dabfaed7b5fa32de,Daniel J. Bernstein
http://sdm_lab/53f807bddabfae90ec13a610,David Bryson
http://sdm_lab/53f42cfbdabfaec09f10ee4c,Victoria Vesna
http://sdm_lab/53f45027dabfaedf435f2d4d,H. Th. Hagmeyer
http://sdm_lab/56017dc545cedb3395e64160, IEEE Parallel & Distributed Technology: Systems & Technology staff
http://sdm_lab/53f48b81dabfaea6fa77b64a,John Langford
http://sdm_lab/53f44349dabfaee1c0ae08f1,Jan L. G. Dietz
http://sdm_lab/53f4305bdabfaee1c0a5991e,Eric Blais
http://sdm_lab/53f4338fdabfaee4dc7665d4,Ed Purver
http://sdm_lab/54337ba9dabfaeb542189a2d,Franz Rothlauf
http://sdm_lab/53f46589dabfaeecd6a09aec,Carl Mitcham
http://sdm_lab/53f42c3fdabfaec22ba063f6,Igor Walukiewicz
http://sdm_lab/53f43a5ddabfaee02acf0532,Field G. Van Zee
http://sdm_lab/53f7ca7bdabfae90ec11d498,Wolfgang Spohn
http://sdm_lab/53f7d713dabfae9060aeeb5f,Ravi Nair
http://sdm_lab/53f4345ddabfaee0d9b52089,Brenda Laurel
http://sdm_lab/53f4d802dabfaef64c77b661,Giuseppe Riva
http://sdm_lab/53f49cfcdabfaebfa577b5fc,Min WANG
http://sdm_lab/53f42ad0dabfaec22b9ec172,Peter Kelb
http://sdm_lab/53f43af2dabfaeee229d6e42,Radim BelohlÃ¡vek
http://sdm_lab/53f4414fdabfaee0d9ba354d,Go Inaba
http://sdm_lab/53f458f0dabfaedf43615602,C. Avart
http://sdm_lab/53f44147dabfaeee229e8aad,JÃ¶rg WÃ¼rtz
http://sdm_lab/5405bd36dabfae8faa5fab64,Lowell W. Beineke
http://sdm_lab/5489927edabfaed7b5fa3d10,Paolo Sibani
http://sdm_lab/53f4716adabfaec09f26a540,Stefan Gastinger
http://sdm_lab/53f43302dabfaec09f15aa50,Ana Teresa Freitas
http://sdm_lab/5487a42fdabfae8a11fb3c6d,Luis M. Camarinha-matos
http://sdm_lab/53f3218adabfae9a84458e20,Amanda Oldroyd
http://sdm_lab/53f444f0dabfaee43ec78180,"C. S""rensen"
http://sdm_lab/53f46cc3dabfaec09f258bb9,Dimiter Dobrev
http://sdm_lab/5429c6eedabfaec7081b506e,Chang-Jiu Li
http://sdm_lab/53f463b3dabfaee4dc8430d5,Annabel Sebag
http://sdm_lab/53f435a3dabfaedce5528bd8,Daniel Ratiu
http://sdm_lab/53f4cc85dabfaeebdcf81164,B. Ballester
http://sdm_lab/53f45dacdabfaee02ad7327a,Harald RueÃŸ
http://sdm_lab/53f48d04dabfaea7cd1d0ef9,Ben Shneiderman
http://sdm_lab/560187c245cedb3395e6ad45,Neil Robertson
http://sdm_lab/5601885645cedb3395e6c00d,J Smith
http://sdm_lab/53f4823cdabfaec09f2a2b05,Timo Suoranta
http://sdm_lab/53f42f23dabfaee1c0a4a37d,Kurt Lautenbach
http://sdm_lab/53f43688dabfaec09f17e0dc,Markus Achtelik
http://sdm_lab/53f31b87dabfae9a8443767c,Johan Kildal
http://sdm_lab/54093d60dabfae450f46e5f8,James Hays
http://sdm_lab/53f4681ddabfaedf4364cf1c,W. Patrick Walters
http://sdm_lab/5601760645cedb3395e5a88d,Robert Winter
http://sdm_lab/542ab747dabfae646d582065,Hui Geng
http://sdm_lab/53f45521dabfaeecd69e682f,Annarita Giani
http://sdm_lab/53f42f63dabfaee43ebdebb9,E. A. Neutel
http://sdm_lab/542a3469dabfae5346af94f4,Baojun Gao
http://sdm_lab/5405ac0fdabfae450f3c453b,Michael Jessen
http://sdm_lab/54353ec2dabfaebba58b9658,Michael J. C. Gordon
http://sdm_lab/53f39fbcdabfae4b34ab2434,Margalit Zabludowski
http://sdm_lab/53f42fd4dabfaee4dc737f8a,Fernando Magno QuintÃ£o Pereira
http://sdm_lab/53f425d3dabfaeb1a7b51f7e,Janusz A. Brzozowski
http://sdm_lab/5406dec2dabfae450f3f068e,Thomas Lux
http://sdm_lab/53f7b6aedabfae8faa4ab43d,Subhamoy Maitra
http://sdm_lab/5406aaa5dabfae92b421cf55,Cristiano Castelfranchi
http://sdm_lab/5447f310dabfae87b7db570c,Albert Wu
http://sdm_lab/53f42e8cdabfaee2a1c8b6d8,Ron Alford
http://sdm_lab/548649e1dabfae8a11fb3181,VÃ­ctor Dalmau
http://sdm_lab/54484a78dabfae87b7e00255,Mike Fitzpatrick
http://sdm_lab/56017a2a45cedb3395e5f64c,Kevin Cheng
http://sdm_lab/53f78697dabfae8faa4949f9,Jian-Ming Jin
http://sdm_lab/548f07ebdabfaef989f0976b,Gilles Barthe
http://sdm_lab/542e07d4dabfae4b91c3d4fa,Xiaofei He
http://sdm_lab/53f4308ddabfaec22ba4077d,Hardik Bati
http://sdm_lab/53f4345bdabfaedd74d8cfc7,D A. Watt
http://sdm_lab/54351a03dabfaebba58a045f,Conor McBride
http://sdm_lab/53f35d31dabfae4b34976dd9,Jia Yuan Yu
http://sdm_lab/5601813445cedb3395e65d1d,S. Sakamoto
http://sdm_lab/53f428e7dabfaec09f0df4cf,Mun-Kyu Lee
http://sdm_lab/54856c36dabfae8a11fb2932,Andrew Ortony
http://sdm_lab/53f4acf0dabfaecdfbf8045b,Richard T. Snodgrass
http://sdm_lab/53f42e14dabfaee2a1c85656,Michal Rinott
http://sdm_lab/53f43631dabfaec09f17b91f,Alfred Strohmeier
http://sdm_lab/53f443f1dabfaedd74de489b,Peter Maynard
http://sdm_lab/53f42cc4dabfaeb2acfe15b8,Andreas Eisele
http://sdm_lab/54068d1ddabfae44f083fad0,Greg Goth
http://sdm_lab/53f46737dabfaee2a1db209e,Mattia Natali
http://sdm_lab/53f46bc8dabfaee02adaa54b,Naotsugu Tsuchiya
http://sdm_lab/53f45c2ddabfaedd74e43476,John Aloimonos
http://sdm_lab/5631f8f345cedb3399f79c8c,Jingjing Liu
http://sdm_lab/560187d845cedb3395e6b190,Long Zhang
http://sdm_lab/53f4846cdabfaeb22f570ac8,Simon Baker
http://sdm_lab/53f43129dabfaec09f144484,Kristin Desmond
http://sdm_lab/53f56849dabfae6593f80484,Michael Forster
http://sdm_lab/53f435cfdabfaee2a1ce1ed3,John Stockton
http://sdm_lab/53f47327dabfaedce55ffbf9,DÃ¡niel Marx
http://sdm_lab/56018a5a45cedb3395e6d51e,Jason Lawrence
http://sdm_lab/53f4439fdabfaee4dc7c5ea3,W. Bauerfeld
http://sdm_lab/53f42d01dabfaec09f10f28e,Amitava Das
http://sdm_lab/53f4d421dabfaef205f81ebd,Oliver Zlotowski
http://sdm_lab/53f47444dabfaedf4367bf7c,Ralph L. Stout
http://sdm_lab/53f44c8adabfaedf435e53d4,Birgitta Dresp-langley
http://sdm_lab/53f433a6dabfaeecd6943d1b,Mahboubeh Rezaei
http://sdm_lab/53f4c6a7dabfaee57e77b480,Paolo Atzeni
http://sdm_lab/53f44faddabfaedf435f0ee4,Gregory P. Garvey
http://sdm_lab/53f42e89dabfaeb1a7b9a3a0,AndrÃ© Rauber Du Bois
http://sdm_lab/53f6398bdabfaead2d9bf15c,Bernard Bel
http://sdm_lab/5485bca7dabfae9b401339e8,Daniel P. Friedman
http://sdm_lab/53f42fc1dabfaee0d9b1ad8e,Christian Veenhuis
http://sdm_lab/53f45001dabfaefedbb38d77,Marcus Kracht
http://sdm_lab/53f452f3dabfaedf435fe39e,Marina Zurkow
http://sdm_lab/53f39a51dabfae4b34a8e614,Dieter Gollmann
http://sdm_lab/548975a7dabfaed7b5fa3c1a,Daniel T. Schwartz
http://sdm_lab/53f44824dabfaee43ec84ac6,Vera S. Pless
http://sdm_lab/53f42e0ddabfaee1c0a3c419,R. Grabowski
http://sdm_lab/53f4523fdabfaedf435fb7bc,Solomon Marcus
http://sdm_lab/53f3b0f5dabfae4b34b1bcee,Liz Brown
http://sdm_lab/53f44ea2dabfaedf435ece1f,G. Fortuna
http://sdm_lab/53f439bedabfaedce554df2b,James Grayson Trulove
http://sdm_lab/54088675dabfae92b42473da,Xiaofeng Wang
http://sdm_lab/53f43133dabfaee02ac91439,Robert Hecht-Nielsen
http://sdm_lab/53f42dd2dabfaee1c0a395de,Andrew J. Greensted
http://sdm_lab/5601872e45cedb3395e69812,K. Mehlhorn
http://sdm_lab/54106ae8dabfae44f08a8330,Jan Marco Leimeister
http://sdm_lab/53f43001dabfaec22ba3918e,Jee-Young Oh
http://sdm_lab/53f43a6edabfaeecd69852f3,Helen Kalafatic
http://sdm_lab/540908e2dabfae92b42555f2,Gary Rogers
http://sdm_lab/543149d1dabfae8f291413ae,Michael Frazier
http://sdm_lab/53f4bdf9dabfaedce5655beb,David Elkouss
http://sdm_lab/548fd969dabfaef989f09bf5,Robert C. Marshall
http://sdm_lab/53f319dbdabfae9a8442e210,Erika Braga
http://sdm_lab/53f45fe9dabfaefedbb7094b,Justin Iwerks
http://sdm_lab/53f4554bdabfaec09f2027e6,Daniel Brkovic
http://sdm_lab/53f42f5edabfaedce54deb37,Bernhard Schmittner
http://sdm_lab/53f56759dabfae6431f8045b,Johan Karlsson
http://sdm_lab/56017b2745cedb3395e6099e,Tony J. Prescott
http://sdm_lab/53f488a4dabfaea3a423e72d,Koji Tsuda
http://sdm_lab/54086a91dabfae92b4241633,Brian Button
http://sdm_lab/53f42d1adabfaedf43512aa2,Outi Saijonmaa
http://sdm_lab/53f463e9dabfaeb1a7c8392c,Mohamed Mejri
http://sdm_lab/53f434badabfaee1c0a8e3a9,Beat WÃ¼thrich
http://sdm_lab/53f39bd4dabfae4b34a98912,Joachim Baehr
http://sdm_lab/53f42f07dabfaedd74d4be4f,Andrew M. Marshall
http://sdm_lab/53f43393dabfaee4dc766872,Holger Funke
http://sdm_lab/53f4296cdabfaec22b9e434b,Tom Verdickt
http://sdm_lab/5487b05adabfaed7b5fa31f6,Joel S. Emer
http://sdm_lab/5448736cdabfae87b7e276eb,Cheryl E. Praeger
http://sdm_lab/53f815afdabfae90ec142ba8,Rajeev Alur
http://sdm_lab/53f45635dabfaedf4360af2d,Jordi Cortadella
http://sdm_lab/53f4364adabfaeb2ac052a2f,Philippe Rouchy
http://sdm_lab/53f4394bdabfaee0d9b80545,Ray Walshe
http://sdm_lab/53f44103dabfaec22bab8a90,Yanbing Wang
http://sdm_lab/53f32288dabfae9a8445e77a,Pierre Ganty
http://sdm_lab/53f43415dabfaee43ec18eea,Bernard L. Menezes
http://sdm_lab/5448a11edabfae87b7e53b0d,Erik D. Demaine
http://sdm_lab/53f4354edabfaedf43576560,Yasuhiro Kobari
